thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
34,0,34,[-0.109],[0.058],[1],[0],[0],[1.8647480999934487],['target'],34,0,34,0,57.16616290004458,,,,,,,,,10,57.15447890001815,57.16616290004458,57.16616290004458,0.017364000028464943,59.019316100049764,[-0.109],[0.058],[1],[0],[0],[1.8647480999934487],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
35,0,35,[-0.024],[-0.06],[1],[0],[0],[1.4406424000044353],['target'],35,0,35,0,59.049891700036824,,,,,,,,,5,59.02905820001615,59.049891700036824,59.049891700036824,0.009528000024147332,60.46974420000333,[-0.024],[-0.06],[1],[0],[0],[1.4406424000044353],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
36,0,36,[0.327],[-0.396],[1],[0],[0],[1.5485585000133142],['target'],36,0,36,0,60.499248400039505,,,,,,,,,10,60.48607990000164,60.499248400039505,60.499248400039505,0.016255500027909875,62.03475869999966,[0.327],[-0.396],[1],[0],[0],[1.5485585000133142],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
37,0,37,[0.122],[0.173],[1],[0],[0],[1.5171679999912158],['target'],37,0,37,0,62.065898500033654,,,,,,,,,10,62.052279600000475,62.065898500033654,62.065898500033654,0.01734100002795458,63.56951709999703,[0.122],[0.173],[1],[0],[0],[1.5171679999912158],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
38,0,38,[-0.027],[0.398],[1],[0],[0],[1.232236199954059],['target'],38,0,38,0,63.599462100013625,,,,,,,,,10,63.58667950000381,63.599462100013625,63.599462100013625,0.01699690002715215,64.81898080004612,[-0.027],[0.398],[1],[0],[0],[1.232236199954059],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
39,0,39,[-0.366],[-0.397],[1],[0],[0],[1.6252590999938548],['target'],39,0,39,0,64.84940790000837,,,,,,,,,5,64.82783870003186,64.84940790000837,64.84940790000837,0.008682000043336302,66.45316610002192,[-0.366],[-0.397],[1],[0],[0],[1.6252590999938548],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
40,0,40,[-0.478],[-0.06],[1],[0],[0],[1.7838550999877043],['target'],40,0,40,0,66.48285560001386,,,,,,,,,10,66.46955920004984,66.48285560001386,66.48285560001386,0.016261600016150624,68.25357080000686,[-0.478],[-0.06],[1],[0],[0],[1.7838550999877043],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
41,0,41,[-0.339],[-0.365],[1],[0],[0],[1.3961336000356823],['target'],41,0,41,0,68.28282570000738,,,,,,,,,10,68.27300380001543,68.28282570000738,68.28282570000738,0.01913329999661073,69.66922120004892,[-0.339],[-0.365],[1],[0],[0],[1.3961336000356823],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
42,0,42,[0.344],[0.384],[1],[0],[0],[2.364795600005891],['target'],42,0,42,0,69.69932400004473,,,,,,,,,10,69.6883111000061,69.69932400004473,69.69932400004473,0.0189022000413388,72.05320690001827,[0.344],[0.384],[1],[0],[0],[2.364795600005891],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
43,0,43,[0.379],[-0.326],[1],[0],[0],[1.6396033000200987],['target'],43,0,43,0,72.08330850000493,,,,,,,,,5,72.06351750000613,72.08330850000493,72.08330850000493,0.010064800037071109,73.70325300004333,[0.379],[-0.326],[1],[0],[0],[1.6396033000200987],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
44,0,44,[0.344],[-0.375],[1],[0],[0],[1.2387360000284389],['target'],44,0,44,0,73.73287870001514,,,,,,,,,5,73.71400560002076,73.73287870001514,73.73287870001514,0.010511000000406057,74.95283760002349,[0.344],[-0.375],[1],[0],[0],[1.2387360000284389],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
45,0,45,[0.32],[0.417],[1],[0],[0],[2.06276949995663],['target'],45,0,45,0,74.98275330004981,,,,,,,,,10,74.97137880005175,74.98275330004981,74.98275330004981,0.018372499966062605,77.03419520001626,[0.32],[0.417],[1],[0],[0],[2.06276949995663],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
46,0,46,[-0.323],[0.13],[1],[0],[0],[1.5750501999864355],['target'],46,0,46,0,77.04988750000484,,,,,,,,,5,77.04337750002742,77.04988750000484,77.04988750000484,0.009068000013940036,78.61848100001225,[-0.323],[0.13],[1],[0],[0],[1.5750501999864355],['target'],participant 4,001,2025-09-30_23h31.35.087,visual_search,,2025.1.1,59.7915904394216,2025-09-30 23h31.42.442613 +0530,
