reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
53,65,101,54,4,5,t,1.4252471001818776,None,5,4,54,5,205.89889009995386,,205.88806879986078,205.89889009995386,206.8823914998211,206.8823914998211,206.8989216000773,208.31499999994412,t,1.4252471001818776,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,55,5,5,l,1.2051132000051439,None,5,5,55,2,208.33119489997625,,208.3183766999282,208.33119489997625,209.31581899989396,209.31581899989396,209.33222489990294,210.5324638998136,l,1.2051132000051439,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
49,60,89,56,6,5,t,0.8968521999195218,None,5,6,56,4,210.54798669973388,,210.53667340008542,210.54798669973388,211.54871399980038,211.54871399980038,211.54871399980038,212.44938919972628,t,0.8968521999195218,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,57,7,5,t,1.0700864000245929,None,5,7,57,8,212.46446069981903,,212.45504290005192,212.46446069981903,213.4490101998672,213.4490101998672,213.46557579981163,214.5327099999413,t,1.0700864000245929,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,58,8,5,t,0.8665491999126971,None,5,8,58,7,214.54804369993508,,214.536500999704,214.54804369993508,215.54813200002536,215.54813200002536,215.54813200002536,216.416802899912,t,0.8665491999126971,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
11,30,7,59,9,5,l,1.2039719000458717,None,5,9,59,0,216.431089699734,,216.42149209976196,216.431089699734,217.43241399992257,217.43241399992257,217.43241399992257,218.64945810008794,l,1.2039719000458717,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
27,50,21,60,0,6,l,1.2537381001748145,None,6,0,60,2,218.66457229992375,,218.65481409989297,218.66457229992375,219.64887049980462,219.64887049980462,219.665556400083,220.91608850006014,l,1.2537381001748145,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
82,90,175,61,1,6,t,1.0694137997925282,None,6,1,61,8,220.9313973998651,,220.92117029987276,220.9313973998651,221.91603229986504,221.91603229986504,221.9322595000267,222.99907799996436,t,1.0694137997925282,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
78,80,162,62,2,6,t,0.6861057002097368,None,6,2,62,7,223.01458540000021,,223.0042165000923,223.01458540000021,223.99887949973345,223.99887949973345,224.01573759969324,224.6985333999619,t,0.6861057002097368,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
53,65,101,63,3,6,t,0.856120300013572,None,6,3,63,5,224.7149101998657,,224.70101899979636,224.7149101998657,225.69885849999264,225.69885849999264,225.71491729980335,226.56598290009424,t,0.856120300013572,None,participant 1,001,2025-11-06_20h41.24.448,delay_discounting,,2025.1.1,60.144370497968794,2025-11-06 20h41.59.361943 +0530,
